﻿Monthly Mean Discharge (m3/s) (PARAM = 1) and Monthly Mean Water Level (m) (PARAM = 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
05BB001,1,1,1909,,,,,,,,,,,176,,164,,70.1,,44.7,,23.6,,,,,,
05BB001,1,1,1910,,,,,,,,,87.5,,151,,134,,78.7,,35.6,,34.1,,,,,,
05BB001,1,1,1911,9.82,,9.25,,8.56,,10.4,,35.1,,177,,126,,72.7,,42.6,,19.2,,11.7,,10.8,,44.5
05BB001,1,1,1912,8.23,,7.55,,6.34,,8.34,,42,,97,,101,,99.9,,52.3,,28.8,,16.5,,12.2,,40.1
05BB001,1,1,1913,9.1,,7.93,,7.24,,11.7,,39.5,,159,,101,,85.7,,55.6,,28.6,,17.1,,11.3,,44.6
05BB001,1,1,1914,9.92,,8.93,,8.07,,11.3,,52.3,,139,,138,,73.7,,42.1,,34.5,,16.5,,10.2,,45.6
05BB001,1,1,1915,8.13,,7.84,,7.53,,15.9,,45,,91.6,,124,,101,,44.4,,24.6,,16.2,,12.6,,41.9
05BB001,1,1,1916,10,,9.59,,7.67,,9.95,,27.5,,139,,153,,76.2,,50.5,,24.6,,15.2,,10.9,,44.6
05BB001,1,1,1917,8.65,,7.46,,6.49,,7.1,,49.3,,106,,123,,66.9,,36,,29.2,,14.1,,9.5,,38.8
05BB001,1,1,1918,8.79,,7.09,,6.72,,9.6,,40.6,,161,,97.7,,67.4,,42.5,,26.9,,13.8,,10.4,,41.1
05BB001,1,1,1919,8.49,,7.24,,5.5,,9.59,,58.4,,105,,83.3,,75.1,,38.6,,16.5,,10.9,,9.36,,35.8
05BB001,1,1,1920,8.37,,7.38,,6.28,,7.63,,21.9,,85.4,,183,,81.6,,39.6,,27.1,,14,,10.4,,41.3
05BB001,1,1,1921,9.51,,8.11,,7.88,,8.38,,50.2,,124,,101,,64.4,,26.6,,22.4,,16.8,,11.9,,37.8
05BB001,1,1,1922,9.59,,8.53,,7.62,,8,,49.3,,134,,90.6,,75.1,,46.8,,27.2,,14,,9.28,,40.2
05BB001,1,1,1923,8.79,,8.33,,8.64,,10.5,,42.2,,159,,102,,69,,45.1,,24.1,,12.9,,9.62,,41.8
05BB001,1,1,1924,9.6,,9.99,,8.17,,7.2,,65.6,,88.9,,95.6,,72.1,,42.1,,20.1,,13.1,,9.9,,37
05BB001,1,1,1925,8.98,,8.03,,6.62,,15,,98.5,,143,,106,,73.4,,44.3,,26.8,,15.8,,11.4,,46.7
05BB001,1,1,1926,8.24,,7.85,,7.09,,19.8,,40.8,,73.2,,95.8,,62,,46.5,,23.8,,14,,8.78,,34.2
05BB001,1,1,1927,7.73,,7.21,,7.41,,8.95,,26.4,,161,,139,,89.5,,49.8,,33.8,,17.4,,12.7,,47
05BB001,1,1,1928,9.87,,7.76,,8.18,,10.7,,110,,167,,155,,68.9,,36.5,,18.1,,10.8,,7.66,,51.1
05BB001,1,1,1929,6.36,,5.45,,6.29,,6.45,,30.6,,125,,72.8,,66.6,,38.2,,17.8,,10.3,,7.94,,32.9
05BB001,1,1,1930,6.9,,7.08,,7.11,,15.7,,55,,153,,123,,78.2,,44.7,,19.4,,11.2,,7.91,,44.3
05BB001,1,1,1931,7.16,,6.46,,6.04,,7.64,,52.6,,112,,91.7,,60.2,,42.7,,19.3,,12.4,,9.4,,35.8
05BB001,1,1,1932,7.99,,12,,8.5,,11.5,,60.4,,177,,104,,80.5,,44.9,,20.3,,11.8,,9.08,,45.6
05BB001,1,1,1933,7.8,,7.71,,7.54,,10.9,,43.1,,165,,133,,69.6,,39.6,,22.6,,17,,9.52,,44.6
05BB001,1,1,1934,7.4,,6.57,,7.31,,28.9,,115,,116,,86.5,,60.3,,35.1,,24.6,,15.6,,9.36,,42.9
05BB001,1,1,1935,12.7,,8.62,,7.7,,9.02,,40.1,,142,,136,,78.1,,39.7,,19.1,,10.3,,7.49,,42.7
05BB001,1,1,1936,6.26,,6.09,,6.38,,10.9,,74.1,,102,,72.1,,53.3,,30.2,,16.7,,11,,6.96,,33.1
05BB001,1,1,1937,5.62,,5.42,,5.94,,6.97,,37.9,,90.9,,85.5,,54.2,,37.2,,22.7,,19.5,,10.2,,32
05BB001,1,1,1938,8.94,,7.39,,7.76,,9.19,,53.4,,155,,100,,48.1,,47.5,,23.6,,11.2,,8.63,,40.2
05BB001,1,1,1939,7.67,,6.36,,6.92,,10.1,,65.4,,78.4,,105,,62.8,,36.1,,24.5,,17.5,,10.9,,36.2
05BB001,1,1,1940,8.11,,7.36,,7.36,,10,,73.6,,112,,90.9,,58.8,,47.7,,27,,14.2,,10.3,,39
05BB001,1,1,1941,7.85,,7.05,,7.54,,12.1,,37.2,,90,,74.7,,53.3,,30.3,,21.5,,13.7,,10.8,,30.6
05BB001,1,1,1942,9.56,,7.4,,6.8,,9.26,,47.3,,96.4,,115,,73.3,,39.5,,23.6,,13.2,,11.1,,38
05BB001,1,1,1943,10.7,,9.01,,8.28,,16.7,,30.8,,76.2,,142,,63.3,,29.8,,21.3,,13.1,,9.79,,36.2
05BB001,1,1,1944,8.29,,7.77,,6.56,,8.72,,48.5,,107,,68.9,,68.8,,42.3,,24.7,,14.9,,10.3,,34.8
05BB001,1,1,1945,8.38,,7.89,,7.85,,7.54,,29.7,,87.6,,82.4,,53.3,,32.4,,21.2,,13.9,,10,,30.3
05BB001,1,1,1946,9.18,,8.89,,8.44,,10.8,,71.1,,121,,87.5,,58.3,,48,,24,,14.4,,11.1,,39.5
05BB001,1,1,1947,9.68,,9.03,,8.4,,13.7,,73.3,,128,,100,,53.7,,41.6,,35.2,,18.9,,12.5,,42.2
05BB001,1,1,1948,9.95,,9.47,,9.42,,11.3,,92.7,,168,,88.2,,70.3,,36.5,,19.2,,12.7,,9.48,,44.8
05BB001,1,1,1949,7.68,,7.19,,8.27,,9.38,,62.4,,67.7,,53.4,,47.3,,30.7,,18.9,,13.7,,8.2,,28
05BB001,1,1,1950,7.87,,8.2,,6.91,,8.86,,21.7,,155,,125,,61.2,,36.5,,20.5,,14.6,,12.2,,40
05BB001,1,1,1951,9.27,,7,,6.12,,10.7,,71.9,,107,,149,,68.8,,38.9,,26.9,,15.4,,11.2,,43.9
05BB001,1,1,1952,9.75,,8.98,,7.69,,14,,66.6,,117,,105,,67.6,,32,,22.4,,11.5,,9.18,,39.5
05BB001,1,1,1953,9.58,,7.53,,7.61,,8.29,,35.6,,128,,119,,64.3,,38.4,,25.3,,17.1,,11.7,,39.6
05BB001,1,1,1954,8.82,,9.05,,8.61,,9.17,,45.9,,130,,184,,96.2,,60.1,,26.4,,18.1,,11.3,,50.9
05BB001,1,1,1955,9.7,,8.18,,8.38,,8.19,,20.3,,128,,122,,60.3,,35.3,,20.2,,13.9,,11.3,,37.3
05BB001,1,1,1956,9.71,,7.08,,7.52,,11.1,,75,,149,,97.3,,54.6,,27.2,,17.2,,11.3,,8.26,,39.7
05BB001,1,1,1957,8.77,,7.52,,6.77,,8.41,,90.5,,101,,70.2,,46.8,,29.7,,21.4,,13.7,,11.1,,34.8
05BB001,1,1,1958,9.93,,8.87,,6.9,,7.87,,88,,121,,95.3,,60.3,,33.8,,22.6,,12.8,,10,,40
05BB001,1,1,1959,9.68,,9.47,,8.26,,9.08,,41.7,,143,,118,,59.5,,49.2,,27.2,,17,,13.8,,42.3
05BB001,1,1,1960,9.03,,8.02,,9.85,,11.4,,27.9,,102,,121,,57,,35.5,,22.4,,15.4,,11.8,,36.1
05BB001,1,1,1961,9.12,,8.95,,8.64,,8.72,,69.9,,177,,83,,67.6,,31.2,,25.7,,14.3,,11.4,,43.1
05BB001,1,1,1962,9.2,,7.75,,8.1,,13.3,,38.3,,114,,104,,68.4,,35.5,,22.2,,16.2,,10.2,,37.4
05BB001,1,1,1963,8.32,,8.47,,8.33,,11.4,,44.8,,132,,109,,67.5,,45.9,,26,,16.5,,11.5,,41
05BB001,1,1,1964,10.5,,8.6,,7.93,,8.98,,25.5,,155,,129,,59.1,,37.5,,34.7,,18.3,,13.4,,42.4
05BB001,1,1,1965,12,,12.2,,8.86,,10.9,,34.3,,154,,134,,83.4,,39.1,,30.8,,20.3,,12.3,,46.2
05BB001,1,1,1966,10.6,,9.14,,9.36,,11.2,,76.1,,142,,141,,73,,41.6,,28.9,,16.5,,11.6,,47.8
05BB001,1,1,1967,9.67,,8.75,,8.78,,8.92,,34.2,,208,,139,,74.1,,46,,24.3,,13.7,,9.39,,48.8
05BB001,1,1,1968,8.99,,8.24,,8.71,,8.3,,34.5,,127,,110,,58.8,,37.9,,23.7,,14.4,,10.4,,37.6
05BB001,1,1,1969,9.16,,8.2,,7.85,,13,,69.7,,134,,91.7,,59.1,,34.9,,22.7,,14.2,,9.42,,39.6
05BB001,1,1,1970,8.05,,8.73,,7.63,,7.22,,27,,110,,74.5,,49.1,,24.9,,15.3,,9.27,,9.77,,29.4
05BB001,1,1,1971,7.45,,7.9,,6.41,,8.3,,60,,137,,91.7,,70.9,,33.8,,20,,14.2,,8.97,,39
05BB001,1,1,1972,9.45,,7.97,,8.97,,8.34,,51,,210,,127,,81.4,,39.2,,24.4,,15.7,,11.2,,49.6
05BB001,1,1,1973,9.48,,8.49,,8.02,,9.03,,47,,119,,99.4,,58,,31.2,,21.3,,14.3,,11.8,,36.6
05BB001,1,1,1974,9.38,,9.74,,7.11,,10.5,,28.6,,168,,132,,67.9,,36.3,,20.5,,13,,10.4,,42.9
05BB001,1,1,1975,7.91,,7.88,,7.33,,7.58,,22.2,,83.8,,102,,58.9,,35.1,,21.5,,15.6,,12,,32
05BB001,1,1,1976,9.54,,7.76,,7.68,,10.8,,66.8,,97.1,,143,,97.7,,71.7,,29.3,,14.6,,11.1,,47.5
05BB001,1,1,1977,8.75,,7.88,,7.62,,11,,41.5,,105,,65.8,,67.5,,38.8,,19.9,,12.4,,9.8,,33.1
05BB001,1,1,1978,8.17,,7.56,,8.11,,9.15,,34.2,,126,,113,,58.2,,45.8,,27.2,,16.4,,12.9,,39.1
05BB001,1,1,1979,9.98,,6.97,,6.98,,7.37,,33.1,,105,,87.8,,52.1,,31.6,,18.8,,10.4,,9.99,,31.8
05BB001,1,1,1980,7.61,,7.45,,6,,14.8,,103,,120,,71.9,,44.9,,34.5,,27.5,,14,,12,,38.8
05BB001,1,1,1981,10.7,,8.8,,8.6,,10.4,,75.5,,98,,144,,90.1,,41.8,,22.6,,14.6,,10.4,,44.9
05BB001,1,1,1982,8.96,,10.6,,8.83,,8.04,,29.6,,136,,104,,63.1,,48.3,,25.8,,14.6,,11.6,,39.3
05BB001,1,1,1983,10.5,,9.05,,7.26,,9.7,,40.4,,98.9,,94.6,,63.6,,32,,18.5,,15,,7.92,,34.1
05BB001,1,1,1984,8.6,,6.84,,6.75,,9.04,,18.8,,108,,92.9,,66,,42.9,,22.7,,13.9,,9.5,,33.9
05BB001,1,1,1985,8.33,,8.24,,7.18,,10.4,,55.9,,87.7,,75.3,,47.4,,38.1,,22.2,,13.3,,10.2,,32.2
05BB001,1,1,1986,8.39,,7.11,,8.47,,9.47,,60.4,,186,,106,,66.4,,36.1,,24.5,,15.3,,11.5,,45.1
05BB001,1,1,1987,9.94,,8.51,,8.68,,10.7,,71.3,,96.1,,72.2,,49.6,,32.6,,17.6,,10.5,,8.69,,33.2
05BB001,1,1,1988,6.53,,7.74,,7.74,,14,,48.5,,118,,81.3,,55.3,,34.1,,25.9,,14.5,,11.2,,35.5
05BB001,1,1,1989,9.4,,8.33,,7.32,,9.48,,35.7,,125,,86.9,,77,,41.8,,21.1,,17.5,,12.5,,37.8
05BB001,1,1,1990,10.7,,9.11,,8.57,,13,,49,,161,,126,,67,,34.3,,21.6,,16.4,,10.9,,44.2
05BB001,1,1,1991,8.55,,8.79,,7.47,,10.1,,51.5,,137,,144,,88.7,,40.1,,20.4,,13.6,,10.1,,45.3
05BB001,1,1,1992,9,,8.71,,8.43,,10.6,,50.1,,107,,78.7,,49.5,,29.5,,21.2,,12.5,,9.61,,32.9
05BB001,1,1,1993,9.13,,7.24,,7.25,,7.78,,67.8,,78.5,,82.7,,61.2,,38.5,,26,,14.7,,11.7,,34.6
05BB001,1,1,1994,9.84,,8.76,,9.14,,13.3,,57.5,,109,,90.6,,54.3,,31.7,,20.7,,12.1,,10.4,,35.7
05BB001,1,1,1995,8.47,,6.43,,7.74,,8.47,,39,,159,,95.2,,78.5,,39.7,,23.4,,16,,13.7,,41.4
05BB001,1,1,1996,11,,11.2,,8.84,,12.2,,32.1,,140,,135,,64.7,,35.3,,24.2,,11.8,,11.5,,41.5
05BB001,1,1,1997,9.98,,8.24,,8.51,,9.77,,41.4,,154,,92,,62.1,,44.5,,32.9,,16.3,,11,,41
05BB001,1,1,1998,10.9,,8.01,,7.98,,10.3,,80.2,,92.6,,79.1,,52.8,,31.7,,17.3,,12,,9.13,,34.5
05BB001,1,1,1999,8.62,,8.33,,7.61,,9.34,,30.8,,110,,130,,95.9,,46.4,,23.2,,23.2,,14.7,,42.6
05BB001,1,1,2000,11,,9.88,,9.08,,10,,29.9,,101,,121,,68.5,,38.1,,21.9,,11.8,,9.93,,37
05BB001,1,1,2001,8.77,,7.74,,6.89,,8.21,,45.9,,83.4,,74.1,,47.1,,25.2,,14.3,,10.3,,7.9,,28.4
05BB001,1,1,2002,7.21,,7.18,,6.25,,7.69,,22.9,,144,,104,,42.9,,33.8,,18.4,,11.4,,8.71,,34.6
05BB001,1,1,2003,8.61,,6.97,,7.57,,12,,43.8,,130,,73,,47,,29.1,,31.9,,19.9,,13.2,,35.3
05BB001,1,1,2004,9.26,,9.18,,8.41,,11.9,,33.2,,111,,91.6,,57.5,,44.7,,27.7,,17.7,,13,,36.3
05BB001,1,1,2005,10.4,,9.87,,9.07,,13.5,,54.8,,118,,86.2,,48.2,,35.7,,32.6,,18.9,,13,,37.6
05BB001,1,1,2006,12,,9.22,,8.82,,12.3,,73.5,,107,,70.7,,40.6,,33,,20.4,,13,,11.1,,34.4
05BB001,1,1,2007,9.61,,8.78,,9.52,,10.6,,50.1,,161,,116,,48.6,,32.1,,21.2,,14.3,,11.3,,41.3
05BB001,1,1,2008,9.24,,8.4,,7.36,,8.32,,44.7,,107,,93,,52.7,,33.8,,23,,14.8,,11.5,,34.5
05BB001,1,1,2009,9.83,,8.56,,8.2,,8.65,,25.4,,95.9,,74.3,,55,,32.7,,17.4,,11.9,,8.05,,29.7
05BB001,1,1,2010,8.04,,7.44,,7.1,,10.6,,27.9,,83.6,,79.1,,48.6,,35.1,,31.5,,15,,10.4,,30.5
05BB001,1,1,2011,8.9,,7.71,,8.36,,8.54,,35.2,,135,,117,,61.2,,33.7,,28.6,,14.2,,11.3,,39.3
05BB001,1,1,2012,10.2,,7.9,,8.23,,12.3,,43.2,,176,,159,,66.1,,29.4,,22.1,,13.9,,9.18,,46.5
05BB001,1,1,2013,7.64,,8.34,,8.27,,10.4,,59.4,,164,,105,,56.1,,41.1,,19.4,,10.7,,9.21,,41.8
05BB001,1,1,2014,8.04,,8.67,,8.78,,9.27,,52,,136,,112,,63.5,,49,,33,,18.9,,12.4,,42.8
05BB001,1,1,2015,10,,9.33,,9.59,,11.2,,52.4,,101,,65.6,,49.4,,48,,35.7,,17.8,,12.8,,35.3
05BB001,1,1,2016,11.2,,10.5,,8.65,,22.5,,65.3,,71.5,,68,,50.6,,37.4,,32.1,,20.7,,12.1,,34.3
05BB001,1,1,2017,10.5,,9.35,,9.03,,10.8,,66,,173,,93.3,,49.4,,34.1,,18.5,,13.4,,9.37,,41.5
05BB001,1,1,2018,9.18,,7.72,,7.01,,9.39,,109,,116,,82.1,,51.3,,31.1,,21.1,,13.7,,9.34,,39.1
05BB001,1,1,2019,8.97,,6.92,,7.6,,9.52,,38.2,,122,,99.8,,63.6,,45.2,,21.9,,13.1,,11.1,,37.4
05BB001,1,1,2020,9.78,,9.14,,7.7,,9.44,,43.1,,166,,121,,68.5,,35.4,,24.2,,16.7,,11.2,,43.6
05BB001,1,1,2021,10,,8.42,,7.68,,8.6,,42.3,,165,,97.1,,50.3,,32.7,,21,,14.1,,11.4,,39.1
05BB001,2,8,2012,1.851,,1.818,,1.793,,1.857,,2.287,,2.978,,2.916,,2.468,,2.169,,2.061,,1.938,,1.798,,2.162
05BB001,2,8,2013,1.797,,1.815,,1.789,,1.808,,2.34,,2.905,,2.668,,,,2.263,,2.017,,1.895,,1.873,,
05BB001,2,8,2014,1.82,,1.824,,1.825,,,,2.224,,,,,,2.396,,2.284,,2.129,,1.974,,1.915,,
05BB001,2,8,2015,1.875,,1.808,,1.785,,1.836,,2.306,,2.668,,2.463,,2.342,,2.326,,2.22,,1.994,,1.9,,2.129
05BB001,2,8,2016,1.869,,1.805,,1.774,,2.034,,2.485,,2.527,,2.521,,2.378,,2.254,,2.193,,2.056,,1.915,,2.152
05BB001,2,8,2017,1.928,,1.866,,1.804,,1.823,,2.375,,2.931,,2.595,,2.324,,2.176,,1.991,,1.893,,1.816,,2.128
05BB001,2,8,2018,1.82,,1.787,,1.788,,1.78,,2.617,,2.712,,2.542,,2.345,,2.167,,2.043,,1.918,,1.847,,2.116
05BB001,2,8,2019,1.819,,1.883,,1.89,,1.792,,2.165,,2.732,,2.638,,2.433,,2.298,,2.054,,1.915,,1.871,,2.126
05BB001,2,8,2020,1.867,,1.82,,1.765,,1.797,,2.228,,2.902,,2.733,,2.457,,2.216,,2.095,,1.977,,1.862,,2.144
05BB001,2,8,2021,1.839,,1.849,,1.789,,1.799,,2.23,,2.907,,2.616,,2.357,,2.214,,2.075,,1.95,,1.912,,2.129
